epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28403,2.38601,2.14115,1.41192,0.0435,0.59759,0.03647,0.01501,nan,nan,nan,0.000649573,0.000649573,0.000649573
2,8.30802,1.82748,1.09072,1.16269,0.01318,0.10013,0.00623,0.00218,nan,nan,nan,0.00130321,0.00130321,0.00130321
3,12.2718,1.88748,1.05065,1.17066,0.11257,0.53422,0.0855,0.03284,2.18458,inf,8.69793,0.00194364,0.00194364,0.00194364
4,16.279,1.83496,1.0267,1.15874,0.09949,0.34094,0.05159,0.02468,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,20.1967,1.73152,0.9697,1.11812,0.7271,0.5057,0.49566,0.24419,1.61386,1.51118,1.19405,0.0019208,0.0019208,0.0019208
6,24.1753,1.71155,0.93354,1.1109,0.65223,0.50507,0.48819,0.21295,1.9179,2.16745,1.28774,0.001901,0.001901,0.001901
7,28.1442,1.72199,0.91454,1.09987,0.83049,0.54753,0.60589,0.30727,1.74309,1.27421,1.18893,0.0018812,0.0018812,0.0018812
8,32.1755,1.66842,0.88993,1.0868,0.79472,0.56654,0.5949,0.30409,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,36.1523,1.61702,0.87794,1.09997,0.81925,0.79848,0.84916,0.43722,1.51427,0.96571,1.07256,0.0018416,0.0018416,0.0018416
10,40.2166,1.65889,0.91813,1.09365,0.8181,0.78897,0.84305,0.41289,1.57434,0.87243,1.09694,0.0018218,0.0018218,0.0018218
11,44.2034,1.63885,0.86407,1.07739,0.78509,0.78454,0.82764,0.43359,1.51163,0.93385,1.07772,0.001802,0.001802,0.001802
12,48.1922,1.62906,0.87396,1.08033,0.89116,0.74778,0.84772,0.4456,1.49268,0.83594,1.06446,0.0017822,0.0017822,0.0017822
13,52.2429,1.57954,0.84597,1.05748,0.90234,0.79658,0.87194,0.47503,1.43038,0.79653,1.04797,0.0017624,0.0017624,0.0017624
14,56.2963,1.59539,0.82777,1.06569,0.83774,0.80038,0.80351,0.39398,1.55483,0.83833,1.08827,0.0017426,0.0017426,0.0017426
15,60.2991,1.57608,0.83596,1.07447,0.88912,0.7763,0.86332,0.47077,1.46173,0.77045,1.05549,0.0017228,0.0017228,0.0017228
16,64.3041,1.55328,0.79447,1.06071,0.87429,0.82418,0.8774,0.47218,1.46675,0.72955,1.06207,0.001703,0.001703,0.001703
17,68.3057,1.52494,0.78499,1.06218,0.86935,0.79272,0.87298,0.45466,1.45267,0.77706,1.05246,0.0016832,0.0016832,0.0016832
18,72.3041,1.55774,0.79964,1.04689,0.87474,0.82636,0.88457,0.47153,1.44968,0.75851,1.05727,0.0016634,0.0016634,0.0016634
19,76.3097,1.52438,0.77611,1.04556,0.89543,0.80857,0.87957,0.47458,1.46077,0.81662,1.06337,0.0016436,0.0016436,0.0016436
20,80.3785,1.49544,0.78703,1.04453,0.87336,0.79594,0.87692,0.49128,1.38863,0.76974,1.02658,0.0016238,0.0016238,0.0016238
21,84.4805,1.51025,0.78984,1.04922,0.89311,0.8308,0.89602,0.49215,1.40392,0.79006,1.03183,0.001604,0.001604,0.001604
22,88.6026,1.51221,0.7946,1.04203,0.88288,0.82168,0.88731,0.47769,1.41331,0.71538,1.03273,0.0015842,0.0015842,0.0015842
23,92.6152,1.49296,0.74795,1.04467,0.89938,0.83836,0.89411,0.48507,1.49567,0.72781,1.06661,0.0015644,0.0015644,0.0015644
24,96.6282,1.47695,0.76214,1.04662,0.8046,0.79404,0.79511,0.42017,1.44604,0.73832,1.04232,0.0015446,0.0015446,0.0015446
25,100.651,1.47375,0.76401,1.03836,0.94177,0.80974,0.90014,0.49625,1.40146,0.67373,1.0361,0.0015248,0.0015248,0.0015248
26,104.747,1.47205,0.75621,1.02564,0.86805,0.84918,0.90336,0.48971,1.38923,0.70889,1.0296,0.001505,0.001505,0.001505
27,108.811,1.45341,0.73769,1.0389,0.87861,0.81641,0.88674,0.48309,1.4504,0.73433,1.04782,0.0014852,0.0014852,0.0014852
28,112.822,1.48552,0.74997,1.03995,0.89205,0.84728,0.89926,0.49372,1.40972,0.71172,1.04257,0.0014654,0.0014654,0.0014654
29,116.857,1.46669,0.73539,1.03449,0.90271,0.85263,0.89887,0.49604,1.38115,0.68316,1.0254,0.0014456,0.0014456,0.0014456
30,120.891,1.45402,0.74301,1.03748,0.87557,0.82048,0.87962,0.49016,1.40438,0.77297,1.03585,0.0014258,0.0014258,0.0014258
31,124.939,1.48291,0.74473,1.0428,0.89374,0.83397,0.90725,0.51347,1.38563,0.68308,1.03128,0.001406,0.001406,0.001406
32,129.021,1.46912,0.73108,1.03642,0.89785,0.86122,0.91042,0.5073,1.37772,0.67258,1.02386,0.0013862,0.0013862,0.0013862
33,133.054,1.44576,0.72155,1.03311,0.89208,0.8486,0.90257,0.50168,1.36531,0.67771,1.01252,0.0013664,0.0013664,0.0013664
34,137.082,1.41722,0.70461,1.02716,0.88009,0.84185,0.90047,0.50493,1.35377,0.67586,1.01172,0.0013466,0.0013466,0.0013466
35,141.117,1.41994,0.70437,1.01718,0.90144,0.87452,0.91832,0.5247,1.35069,0.67302,1.01565,0.0013268,0.0013268,0.0013268
36,145.216,1.41882,0.71344,1.02382,0.92083,0.86692,0.9159,0.52157,1.35741,0.66624,1.01776,0.001307,0.001307,0.001307
37,149.236,1.42469,0.7013,1.02511,0.92025,0.8556,0.90933,0.5036,1.38006,0.6489,1.0253,0.0012872,0.0012872,0.0012872
38,153.274,1.41757,0.7107,1.01864,0.9133,0.87199,0.92003,0.51966,1.35467,0.63955,1.02132,0.0012674,0.0012674,0.0012674
39,157.31,1.42028,0.69343,1.01722,0.92053,0.87356,0.92616,0.53079,1.34433,0.63624,1.01434,0.0012476,0.0012476,0.0012476
40,161.409,1.41382,0.70454,1.02058,0.90339,0.87704,0.91965,0.52609,1.35499,0.63776,1.02242,0.0012278,0.0012278,0.0012278
41,165.444,1.44374,0.69939,1.02653,0.74923,0.82383,0.73029,0.40401,1.35955,0.82105,1.01803,0.001208,0.001208,0.001208
42,169.484,1.4343,0.70279,1.01953,0.90258,0.87326,0.91928,0.51541,1.36433,0.66216,1.01567,0.0011882,0.0011882,0.0011882
43,173.56,1.39031,0.70139,1.01438,0.911,0.84347,0.90581,0.50899,1.35629,0.65267,1.01184,0.0011684,0.0011684,0.0011684
44,177.603,1.38125,0.6755,1.01053,0.92717,0.84708,0.91231,0.52499,1.33574,0.65661,1.00479,0.0011486,0.0011486,0.0011486
45,181.64,1.37559,0.67196,1.00355,0.91185,0.86531,0.91359,0.51932,1.34372,0.6507,1.01239,0.0011288,0.0011288,0.0011288
46,185.667,1.37653,0.69511,1.02013,0.92254,0.8834,0.92501,0.54062,1.29704,0.61449,0.99884,0.001109,0.001109,0.001109
47,189.817,1.36035,0.67495,1.0173,0.90312,0.8684,0.91495,0.52592,1.30511,0.64736,0.99861,0.0010892,0.0010892,0.0010892
48,193.838,1.39557,0.68934,0.9989,0.92623,0.86692,0.91938,0.53147,1.32847,0.62202,1.00574,0.0010694,0.0010694,0.0010694
49,197.879,1.38345,0.66687,0.99778,0.92128,0.85551,0.91495,0.52289,1.31263,0.6318,0.997,0.0010496,0.0010496,0.0010496
50,201.908,1.39005,0.67106,1.0111,0.91107,0.88783,0.9256,0.53999,1.31641,0.60985,1.00682,0.0010298,0.0010298,0.0010298
51,205.946,1.36063,0.65834,0.99639,0.91068,0.86583,0.91677,0.53545,1.32474,0.62454,1.00584,0.00101,0.00101,0.00101
52,209.991,1.35832,0.66779,0.99202,0.91122,0.87812,0.92272,0.53186,1.33227,0.63368,1.00511,0.0009902,0.0009902,0.0009902
53,214.027,1.34474,0.65274,0.98457,0.92636,0.88492,0.92314,0.53963,1.30184,0.62117,0.99994,0.0009704,0.0009704,0.0009704
54,218.057,1.32742,0.64158,0.99495,0.91217,0.87579,0.91282,0.52595,1.32437,0.63141,1.00179,0.0009506,0.0009506,0.0009506
55,222.072,1.33093,0.65638,0.99362,0.90952,0.87136,0.92459,0.53589,1.31697,0.61546,0.99896,0.0009308,0.0009308,0.0009308
