epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40272,2.38258,2.16075,1.39609,0.10066,0.21816,0.04276,0.02211,nan,nan,nan,0.000649573,0.000649573,0.000649573
2,8.44136,1.89088,1.09786,1.18189,0.07988,0.45299,0.04739,0.01989,nan,nan,nan,0.00130972,0.00130972,0.00130972
3,12.3703,1.84001,1.0439,1.1555,0.00758,0.02951,0.00228,0.00055,4.86862,140.62,13.4116,0.00196328,0.00196328,0.00196328
4,16.2613,1.75213,0.99148,1.13555,0.69872,0.62114,0.61848,0.30383,1.81693,2.58767,1.26916,0.0019703,0.0019703,0.0019703
5,20.2647,1.72655,0.97607,1.13076,0.72915,0.71036,0.73467,0.36187,1.7173,2.01655,1.19417,0.0019604,0.0019604,0.0019604
6,24.309,1.71456,0.93843,1.11249,0.77995,0.75498,0.794,0.41924,1.64391,1.55326,1.13525,0.0019505,0.0019505,0.0019505
7,28.3316,1.65531,0.9019,1.08036,0.79382,0.78174,0.81247,0.4222,1.57477,1.20246,1.12157,0.0019406,0.0019406,0.0019406
8,32.3229,1.69212,0.91558,1.10082,0.7759,0.78861,0.74165,0.37789,1.65403,1.20872,1.17829,0.0019307,0.0019307,0.0019307
9,36.2879,1.63655,0.91661,1.09514,0.75171,0.74331,0.78204,0.41542,1.57277,1.82687,1.12048,0.0019208,0.0019208,0.0019208
10,40.2697,1.60965,0.89221,1.08869,0.82729,0.79229,0.84425,0.43669,1.61028,0.99113,1.13523,0.0019109,0.0019109,0.0019109
11,44.3375,1.59403,0.84444,1.08168,0.8397,0.80176,0.85006,0.45988,1.59237,0.98991,1.13113,0.001901,0.001901,0.001901
12,48.3796,1.62053,0.86842,1.09367,0.82409,0.79341,0.83443,0.43526,1.62786,1.00085,1.11568,0.0018911,0.0018911,0.0018911
13,52.3759,1.63523,0.87814,1.08377,0.81945,0.80059,0.84616,0.44963,1.49694,1.11921,1.08112,0.0018812,0.0018812,0.0018812
14,56.3563,1.54432,0.8155,1.06307,0.8178,0.81057,0.84542,0.45572,1.54423,0.95754,1.09362,0.0018713,0.0018713,0.0018713
15,60.3585,1.52913,0.77438,1.07007,0.82094,0.82127,0.84458,0.44951,1.56542,0.95874,1.11635,0.0018614,0.0018614,0.0018614
16,64.35,1.53464,0.80501,1.07171,0.87514,0.79375,0.85478,0.44141,1.61715,0.92845,1.12232,0.0018515,0.0018515,0.0018515
17,68.3559,1.56141,0.82639,1.0714,0.75459,0.73988,0.72589,0.37002,1.52515,1.2101,1.09135,0.0018416,0.0018416,0.0018416
18,72.3707,1.56115,0.81308,1.065,0.81385,0.70419,0.74473,0.40276,1.5965,1.00582,1.08639,0.0018317,0.0018317,0.0018317
19,76.3895,1.55585,0.79164,1.05893,0.84054,0.63281,0.67795,0.36944,nan,nan,nan,0.0018218,0.0018218,0.0018218
20,80.4034,1.5067,0.79515,1.04912,0.81319,0.77145,0.80747,0.44126,nan,nan,nan,0.0018119,0.0018119,0.0018119
21,84.4239,1.51972,0.80111,1.06964,0.84847,0.81857,0.8655,0.4674,1.54296,0.86792,1.12306,0.001802,0.001802,0.001802
22,88.5217,1.4982,0.79475,1.05553,0.84611,0.80752,0.85422,0.45616,1.52668,0.90187,1.09847,0.0017921,0.0017921,0.0017921
23,92.5615,1.50222,0.76657,1.05026,0.82028,0.8442,0.84964,0.45331,1.48959,0.83854,1.082,0.0017822,0.0017822,0.0017822
24,96.5876,1.49998,0.76401,1.04215,0.84184,0.82155,0.86498,0.46458,1.56208,0.81368,1.10868,0.0017723,0.0017723,0.0017723
25,100.638,1.49908,0.7657,1.05262,0.86756,0.78929,0.85606,0.4654,1.47648,0.79498,1.08085,0.0017624,0.0017624,0.0017624
26,104.716,1.49065,0.75439,1.04311,0.85089,0.80714,0.86429,0.48961,1.43472,0.84364,1.06928,0.0017525,0.0017525,0.0017525
27,108.825,1.48157,0.75302,1.04177,0.84065,0.80742,0.86692,0.47405,1.53255,0.80439,1.10242,0.0017426,0.0017426,0.0017426
28,112.872,1.47673,0.75408,1.04563,0.87499,0.8503,0.88545,0.46818,1.50854,0.75519,1.10206,0.0017327,0.0017327,0.0017327
29,116.991,1.51927,0.79031,1.05084,0.88163,0.823,0.88766,0.49211,1.43128,0.86267,1.06404,0.0017228,0.0017228,0.0017228
30,121.169,1.47074,0.7589,1.04299,0.89692,0.82018,0.88564,0.50004,1.44964,0.79355,1.0711,0.0017129,0.0017129,0.0017129
31,125.313,1.45132,0.7422,1.04098,0.87056,0.81675,0.85634,0.46177,1.45792,0.78725,1.07194,0.001703,0.001703,0.001703
32,129.36,1.45759,0.7242,1.03493,0.86937,0.84504,0.88623,0.50306,1.43918,0.75594,1.08573,0.0016931,0.0016931,0.0016931
33,133.489,1.44973,0.7219,1.03331,0.86422,0.8394,0.88403,0.47379,1.49013,0.77539,1.06538,0.0016832,0.0016832,0.0016832
34,137.547,1.4574,0.72827,1.03268,0.865,0.80645,0.86995,0.49438,1.44787,0.79938,1.05473,0.0016733,0.0016733,0.0016733
35,141.604,1.4599,0.71313,1.02613,0.86054,0.83047,0.88437,0.50192,1.40994,0.80049,1.06693,0.0016634,0.0016634,0.0016634
36,145.65,1.44,0.74507,1.03392,0.86977,0.82511,0.87697,0.48088,1.47003,0.8046,1.08831,0.0016535,0.0016535,0.0016535
37,149.734,1.41535,0.71426,1.02718,0.87135,0.849,0.88911,0.48461,1.38586,0.76883,1.04845,0.0016436,0.0016436,0.0016436
38,153.784,1.41937,0.70835,1.02703,0.90575,0.84008,0.901,0.50699,1.40983,0.7501,1.05662,0.0016337,0.0016337,0.0016337
39,157.914,1.43114,0.70572,1.02886,0.91631,0.82773,0.88665,0.49411,1.42636,0.73305,1.06585,0.0016238,0.0016238,0.0016238
40,161.967,1.4314,0.70476,1.02851,0.88608,0.83047,0.89478,0.49722,1.40569,0.7377,1.0516,0.0016139,0.0016139,0.0016139
41,166.033,1.41974,0.7247,1.03411,0.86452,0.82779,0.88418,0.49194,1.39088,0.79928,1.04799,0.001604,0.001604,0.001604
42,170.079,1.40507,0.69294,1.02382,0.89324,0.83266,0.89033,0.50874,1.41776,0.75584,1.06023,0.0015941,0.0015941,0.0015941
43,174.209,1.41824,0.69974,1.01728,0.88268,0.83734,0.89335,0.51074,1.40735,0.72973,1.05153,0.0015842,0.0015842,0.0015842
44,178.307,1.42851,0.69554,1.02497,0.89924,0.8453,0.90048,0.5079,1.42017,0.72421,1.06218,0.0015743,0.0015743,0.0015743
45,182.362,1.406,0.69623,1.02223,0.88722,0.82224,0.8909,0.50682,1.40292,0.73847,1.04849,0.0015644,0.0015644,0.0015644
46,186.405,1.3965,0.68621,1.03146,0.90189,0.85106,0.89912,0.50116,1.44035,0.72676,1.07672,0.0015545,0.0015545,0.0015545
47,190.458,1.39514,0.68074,1.01233,0.90416,0.83116,0.89709,0.49451,1.3879,0.70401,1.04298,0.0015446,0.0015446,0.0015446
48,194.487,1.42259,0.68373,1.01135,0.90167,0.84695,0.90119,0.51596,1.36768,0.69649,1.03994,0.0015347,0.0015347,0.0015347
49,198.613,1.38989,0.67983,1.01208,0.88732,0.85392,0.90232,0.51224,1.40189,0.74939,1.04968,0.0015248,0.0015248,0.0015248
50,202.668,1.38983,0.68727,1.01421,0.89386,0.86121,0.90483,0.52247,1.36439,0.70018,1.04664,0.0015149,0.0015149,0.0015149
