epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27794,2.41743,2.2305,1.42137,0.17948,0.3891,0.12721,0.04556,nan,nan,nan,0.000649573,0.000649573,0.000649573
2,8.33916,1.83709,1.07105,1.16088,0.03002,0.17807,0.01262,0.00428,nan,nan,nan,0.00130321,0.00130321,0.00130321
3,12.2463,1.81589,1.02781,1.145,0.19573,0.0526,0.02641,0.0078,nan,nan,nan,0.00194364,0.00194364,0.00194364
4,16.1344,1.7648,1.00498,1.12842,0.12621,0.48669,0.08071,0.03883,1.79803,37.0371,1.31589,0.0019406,0.0019406,0.0019406
5,20.054,1.69388,0.95311,1.10386,0.59736,0.69856,0.57729,0.27262,1.6148,1.94317,1.15225,0.0019208,0.0019208,0.0019208
6,24.0355,1.69636,0.93614,1.10632,0.70938,0.74271,0.6826,0.32947,1.60603,1.42878,1.1116,0.001901,0.001901,0.001901
7,28.0527,1.72606,0.92707,1.09955,0.75521,0.79848,0.78838,0.40941,1.55651,0.89409,1.09109,0.0018812,0.0018812,0.0018812
8,32.0315,1.66033,0.89356,1.07899,0.83474,0.79701,0.8353,0.43025,1.50576,0.84226,1.0674,0.0018614,0.0018614,0.0018614
9,36.0479,1.64838,0.87775,1.09908,0.83458,0.76413,0.7958,0.40645,1.53742,0.87331,1.07633,0.0018416,0.0018416,0.0018416
10,39.9834,1.62861,0.91107,1.0819,0.82842,0.75729,0.83215,0.42128,1.54053,0.90473,1.07945,0.0018218,0.0018218,0.0018218
11,43.9812,1.63909,0.87237,1.07714,0.83677,0.80243,0.84,0.42,1.50249,0.87317,1.0778,0.001802,0.001802,0.001802
12,47.9726,1.58266,0.86818,1.05848,0.78701,0.7725,0.812,0.44894,1.41836,0.94774,1.03947,0.0017822,0.0017822,0.0017822
13,52.0166,1.56321,0.83681,1.04781,0.88024,0.78718,0.87157,0.46123,1.45897,0.82239,1.048,0.0017624,0.0017624,0.0017624
14,56.0604,1.55117,0.8009,1.05066,0.83535,0.81305,0.8634,0.45529,1.48347,0.80592,1.06602,0.0017426,0.0017426,0.0017426
15,60.0603,1.55841,0.82022,1.06719,0.84559,0.81115,0.87104,0.46242,1.48739,0.79094,1.05762,0.0017228,0.0017228,0.0017228
16,64.1234,1.57881,0.81212,1.05959,0.86697,0.79296,0.86226,0.45355,1.47429,0.78775,1.05635,0.001703,0.001703,0.001703
17,68.1176,1.52937,0.78273,1.05837,0.74915,0.79297,0.76735,0.41191,1.45423,0.91252,1.05156,0.0016832,0.0016832,0.0016832
18,72.1214,1.53348,0.79861,1.0363,0.88087,0.79721,0.87126,0.46551,1.47489,0.77076,1.06381,0.0016634,0.0016634,0.0016634
19,76.2309,1.51057,0.77728,1.03807,0.85779,0.83715,0.88855,0.4876,1.41886,0.70682,1.03923,0.0016436,0.0016436,0.0016436
20,80.3126,1.48373,0.77321,1.03816,0.87727,0.82826,0.88933,0.4873,1.41186,0.71457,1.03469,0.0016238,0.0016238,0.0016238
21,84.3113,1.48524,0.78211,1.03768,0.9077,0.82261,0.8996,0.48553,1.40839,0.82343,1.03146,0.001604,0.001604,0.001604
22,88.329,1.48272,0.77193,1.03117,0.9059,0.80228,0.88927,0.48859,1.40288,0.73792,1.02575,0.0015842,0.0015842,0.0015842
23,92.4171,1.47468,0.73998,1.03473,0.8874,0.80165,0.88375,0.50345,1.4104,0.69704,1.03685,0.0015644,0.0015644,0.0015644
24,96.4923,1.46285,0.74152,1.04315,0.86422,0.84474,0.87964,0.48191,1.38723,0.69316,1.02624,0.0015446,0.0015446,0.0015446
25,100.516,1.45847,0.74378,1.02907,0.92356,0.85805,0.90963,0.51837,1.36268,0.69117,1.01893,0.0015248,0.0015248,0.0015248
26,104.637,1.47119,0.76414,1.02283,0.88545,0.84744,0.89638,0.48891,1.40072,0.72103,1.03576,0.001505,0.001505,0.001505
27,108.653,1.42791,0.72136,1.02941,0.8906,0.84791,0.9011,0.50213,1.39608,0.67297,1.02914,0.0014852,0.0014852,0.0014852
28,112.663,1.48065,0.74044,1.03565,0.25022,0.8834,0.23864,0.13066,1.41022,inf,1.03721,0.0014654,0.0014654,0.0014654
29,116.705,1.46212,0.72431,1.03038,0.90139,0.85729,0.90756,0.50849,1.3886,0.66489,1.02605,0.0014456,0.0014456,0.0014456
30,120.734,1.44019,0.71944,1.02944,0.9112,0.83967,0.8954,0.48128,1.42064,0.68268,1.0329,0.0014258,0.0014258,0.0014258
31,124.758,1.46384,0.73793,1.03338,0.88429,0.85723,0.90702,0.51485,1.3808,0.69611,1.0244,0.001406,0.001406,0.001406
32,128.819,1.45996,0.71592,1.02892,0.88765,0.85118,0.90408,0.51253,1.37188,0.67237,1.02323,0.0013862,0.0013862,0.0013862
33,132.839,1.42943,0.71277,1.02653,0.90015,0.85805,0.912,0.51386,1.36651,0.64362,1.01179,0.0013664,0.0013664,0.0013664
34,136.866,1.40106,0.68058,1.02024,0.90326,0.84611,0.9011,0.50157,1.37198,0.67732,1.01173,0.0013466,0.0013466,0.0013466
35,140.895,1.40787,0.69112,1.00884,0.87581,0.85298,0.8998,0.5167,1.3551,0.6934,1.01804,0.0013268,0.0013268,0.0013268
36,144.916,1.41323,0.71901,1.01638,0.89363,0.86692,0.91532,0.52442,1.34345,0.6876,1.01405,0.001307,0.001307,0.001307
37,149.016,1.39404,0.68607,1.01267,0.9114,0.85399,0.91103,0.51066,1.3382,0.64477,1.0122,0.0012872,0.0012872,0.0012872
38,153.06,1.41154,0.70242,1.01344,0.90914,0.86869,0.91938,0.52994,1.35044,0.6388,1.01569,0.0012674,0.0012674,0.0012674
39,157.223,1.40278,0.68295,1.00865,0.91296,0.8774,0.92466,0.52861,1.33758,0.63832,1.00784,0.0012476,0.0012476,0.0012476
40,161.258,1.38796,0.69218,1.01123,0.9181,0.88276,0.92241,0.5395,1.31268,0.62728,1.00152,0.0012278,0.0012278,0.0012278
41,165.372,1.40357,0.67907,1.01745,0.89593,0.86058,0.91354,0.51935,1.32077,0.62951,1.00481,0.001208,0.001208,0.001208
42,169.442,1.40106,0.67998,1.01033,0.90628,0.86312,0.91689,0.51236,1.36286,0.65492,1.01672,0.0011882,0.0011882,0.0011882
43,173.475,1.37804,0.68413,1.01145,0.91001,0.87643,0.91914,0.52465,1.35668,0.64701,1.01429,0.0011684,0.0011684,0.0011684
44,177.49,1.36652,0.6662,1.01191,0.9011,0.8545,0.91959,0.52659,1.32921,0.62506,1.0083,0.0011486,0.0011486,0.0011486
45,181.516,1.35739,0.65504,1.00285,0.91103,0.86122,0.92339,0.5175,1.36925,0.64464,1.01835,0.0011288,0.0011288,0.0011288
46,185.562,1.35248,0.6716,1.01242,0.90161,0.8885,0.92981,0.55655,1.30148,0.60428,0.99939,0.001109,0.001109,0.001109
47,189.701,1.33174,0.65997,1.01009,0.91529,0.85995,0.92301,0.52391,1.31676,0.63376,1.00056,0.0010892,0.0010892,0.0010892
48,193.734,1.38199,0.66856,0.99766,0.90664,0.88086,0.92827,0.55218,1.29657,0.59359,0.99508,0.0010694,0.0010694,0.0010694
49,197.811,1.35855,0.64845,0.99425,0.9038,0.88213,0.92545,0.52842,1.2843,0.61704,0.99365,0.0010496,0.0010496,0.0010496
50,201.853,1.36557,0.65256,1.00719,0.91466,0.8872,0.92917,0.54063,1.327,0.59391,1.00767,0.0010298,0.0010298,0.0010298
51,205.905,1.333,0.63287,0.99147,0.92233,0.87452,0.92754,0.53415,1.29177,0.5892,0.99353,0.00101,0.00101,0.00101
52,209.952,1.34508,0.64149,0.9926,0.93047,0.87355,0.93175,0.55538,1.2805,0.58897,0.98981,0.0009902,0.0009902,0.0009902
53,214.008,1.32105,0.62806,0.9812,0.91639,0.88212,0.93266,0.54207,1.31782,0.59244,1.00255,0.0009704,0.0009704,0.0009704
54,218.037,1.30598,0.62083,0.98985,0.92627,0.88023,0.93297,0.55034,1.29433,0.59416,0.99152,0.0009506,0.0009506,0.0009506
55,222.084,1.31409,0.62553,0.99247,0.93103,0.88116,0.93306,0.56148,1.28641,0.58381,0.99192,0.0009308,0.0009308,0.0009308
56,226.186,1.33082,0.61857,0.98028,0.92563,0.86692,0.93019,0.54684,1.29211,0.59668,0.99224,0.000911,0.000911,0.000911
57,230.212,1.29732,0.63135,0.98689,0.91388,0.90115,0.93595,0.56051,1.30346,0.57281,0.99352,0.0008912,0.0008912,0.0008912
58,234.243,1.29931,0.61714,0.98875,0.92673,0.87769,0.92948,0.56182,1.27356,0.58614,0.98703,0.0008714,0.0008714,0.0008714
59,238.285,1.30202,0.62592,0.98549,0.94117,0.88086,0.93621,0.55015,1.26971,0.56377,0.98995,0.0008516,0.0008516,0.0008516
60,242.319,1.28704,0.61992,0.98044,0.92882,0.90051,0.93248,0.56614,1.26854,0.55992,0.98874,0.0008318,0.0008318,0.0008318
61,246.418,1.31999,0.61485,0.98149,0.92723,0.8815,0.9332,0.55916,1.27116,0.56568,0.98556,0.000812,0.000812,0.000812
62,250.427,1.28866,0.61347,0.98059,0.91499,0.90038,0.9355,0.57425,1.26201,0.56377,0.98357,0.0007922,0.0007922,0.0007922
63,254.541,1.27818,0.60925,0.98039,0.91798,0.90177,0.93235,0.57211,1.2462,0.54959,0.98066,0.0007724,0.0007724,0.0007724
64,258.58,1.26354,0.59854,0.98448,0.91294,0.90431,0.93528,0.56912,1.23693,0.55447,0.97887,0.0007526,0.0007526,0.0007526
