epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3867,2.07709,2.24059,1.65949,0.0052,0.04976,0.00273,0.00062,5.31339,inf,601.662,0.000653846,0.000653846,0.000653846
2,49.3803,1.83128,1.39819,1.48596,0.01674,0.18204,0.00867,0.00354,2.82834,46.3352,3.16367,0.00131398,0.00131398,0.00131398
3,74.5959,1.83299,1.39036,1.48091,0.00189,0.02549,0.00097,0.0004,nan,nan,nan,0.00196751,0.00196751,0.00196751
4,100.563,1.81661,1.30021,1.45938,0.26708,0.21177,0.17132,0.07655,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,126.67,1.71031,1.13684,1.42216,0.75623,0.74575,0.75139,0.3725,1.75646,1.32574,1.54526,0.0019604,0.0019604,0.0019604
6,152.893,1.67684,1.08013,1.40298,0.80263,0.71238,0.7702,0.41283,1.76494,1.68771,1.55537,0.0019505,0.0019505,0.0019505
7,179.032,1.66451,1.01387,1.36102,0.86636,0.79308,0.84913,0.44269,1.66156,1.03718,1.46027,0.0019406,0.0019406,0.0019406
8,204.936,1.62972,1.00278,1.37463,0.81858,0.76638,0.79997,0.42905,1.64136,1.11426,1.42636,0.0019307,0.0019307,0.0019307
9,230.626,1.61865,1.00487,1.34905,0.87807,0.82587,0.87406,0.46965,1.64557,0.965,1.43761,0.0019208,0.0019208,0.0019208
10,256.349,1.6067,1.00861,1.34009,0.83812,0.77915,0.83671,0.45058,1.61596,1.01259,1.40986,0.0019109,0.0019109,0.0019109
11,281.784,1.58347,0.94623,1.33624,0.90133,0.78216,0.87021,0.46133,1.5849,0.9015,1.41106,0.001901,0.001901,0.001901
12,307.195,1.56249,0.91933,1.32799,0.89142,0.80947,0.87395,0.47254,1.56092,0.9188,1.39567,0.0018911,0.0018911,0.0018911
13,332.783,1.57975,0.9482,1.33207,0.85451,0.81371,0.87011,0.47508,1.5582,0.92773,1.38191,0.0018812,0.0018812,0.0018812
