epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4618,2.06304,2.18392,1.65781,0.00766,0.21139,0.00466,0.00261,2.19435,inf,3.0025,0.000653846,0.000653846,0.000653846
2,49.6048,1.79816,1.40431,1.4989,0.01851,0.13933,0.01181,0.00424,nan,nan,nan,0.00131398,0.00131398,0.00131398
3,75.0585,1.83694,1.3526,1.50499,0.00314,0.01579,0.00162,0.00062,nan,nan,nan,0.00196751,0.00196751,0.00196751
4,101.158,1.78158,1.27706,1.45937,0.69362,0.68291,0.69371,0.32047,1.89045,3.58787,1.88772,0.0019703,0.0019703,0.0019703
5,127.572,1.70673,1.15263,1.4528,0.76291,0.73324,0.76438,0.39377,1.77803,2.21277,1.65219,0.0019604,0.0019604,0.0019604
6,154.387,1.72708,1.18673,1.48833,0.82358,0.68244,0.74531,0.39086,1.79121,1.65505,1.62331,0.0019505,0.0019505,0.0019505
7,181.097,1.66123,1.05385,1.41066,0.84728,0.74056,0.80363,0.43034,1.71711,1.31592,1.60379,0.0019406,0.0019406,0.0019406
8,207.917,1.62097,1.00214,1.37866,0.7468,0.74537,0.75284,0.40155,1.77077,1.75575,1.60344,0.0019307,0.0019307,0.0019307
9,234.649,1.6113,1.01388,1.38554,0.7807,0.74811,0.78928,0.43785,1.6866,1.22867,1.53768,0.0019208,0.0019208,0.0019208
10,261.896,1.6108,1.0456,1.39974,0.85955,0.7771,0.83716,0.46841,1.64835,1.17252,1.54374,0.0019109,0.0019109,0.0019109
11,288.781,1.61057,0.94892,1.39032,0.86685,0.79089,0.83949,0.46392,1.63431,1.07078,1.52086,0.001901,0.001901,0.001901
12,315.352,1.58639,0.91644,1.3561,0.89931,0.80233,0.86606,0.47887,1.6362,1.0452,1.52377,0.0018911,0.0018911,0.0018911
